Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,,,,,,
2018-01-02,91.22000122070312,91.77999877929688,90.62000274658203,91.16000366210938,80.74356842041016,323519.0
2018-01-03,91.0999984741211,91.36000061035156,90.5,90.5,80.15898895263672,367712.0
2018-01-04,91.19999694824219,91.73999786376953,90.83999633789062,91.13999938964844,80.7258529663086,363629.0
2018-01-05,91.36000061035156,91.77999877929688,90.80000305175781,91.30000305175781,80.86756896972656,274216.0
2018-01-08,91.31999969482422,92.18000030517578,90.86000061035156,91.12000274658203,80.70813751220703,323917.0
2018-01-09,91.13999938964844,91.86000061035156,91.08000183105469,91.16000366210938,80.74356842041016,272577.0
2018-01-10,91.19999694824219,91.55999755859375,90.81999969482422,90.86000061035156,80.47783660888672,316243.0
2018-01-11,90.86000061035156,91.08000183105469,89.87999725341797,89.9000015258789,79.62754821777344,380546.0
2018-01-12,90.19999694824219,90.4000015258789,89.45999908447266,89.5999984741211,79.36181640625,283727.0
2018-01-15,89.5999984741211,90.41999816894531,89.36000061035156,89.36000061035156,79.14925384521484,270155.0
2018-01-16,89.58000183105469,90.13999938964844,89.12000274658203,89.66000366210938,79.41497802734375,310264.0
2018-01-17,89.5,90.37999725341797,89.12000274658203,89.87999725341797,79.60982513427734,380232.0
2018-01-18,90.33999633789062,91.33999633789062,89.91999816894531,90.9000015258789,80.51325988769531,373525.0
2018-01-19,91.08000183105469,91.9800033569336,90.76000213623047,91.26000213623047,80.83213806152344,410733.0
2018-01-22,91.62000274658203,91.62000274658203,90.72000122070312,90.95999908447266,80.56641387939453,196075.0
2018-01-23,91.37999725341797,91.45999908447266,90.33999633789062,90.33999633789062,80.01725769042969,269708.0
2018-01-24,90.30000305175781,90.37999725341797,88.72000122070312,88.86000061035156,78.70637512207031,372497.0
2018-01-25,88.77999877929688,89.30000305175781,87.36000061035156,87.68000030517578,77.66121673583984,395305.0
2018-01-26,89.16000366210938,90.86000061035156,89.0,90.12000274658203,79.82240295410156,411675.0
2018-01-29,90.4000015258789,91.19999694824219,90.12000274658203,90.19999694824219,79.89324951171875,258641.0
2018-01-30,90.0999984741211,90.31999969482422,89.22000122070312,89.58000183105469,79.34410095214844,280445.0
